nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix_buf500k.yaml, seed=0, device=cuda
step   66000 | wellbeing 0.156 | wm_loss 1.8667 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 64 | eps 1.00
step   66500 | wellbeing 0.007 | wm_loss 1.8053 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 64 | eps 1.00
step   67000 | wellbeing 0.000 | wm_loss 1.7883 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 64 | eps 1.00
step   67500 | wellbeing 0.000 | wm_loss 1.7845 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 3 | morts 64 | eps 1.00
step   68000 | wellbeing 0.209 | wm_loss 1.8108 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 65 | eps 1.00
step   68500 | wellbeing 0.156 | wm_loss 1.8211 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 66 | eps 1.00
step   69000 | wellbeing 0.163 | wm_loss 1.8299 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 67 | eps 1.00
step   69500 | wellbeing 0.036 | wm_loss 1.8002 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 0 | morts 67 | eps 1.00
step   70000 | wellbeing 0.503 | wm_loss 1.8082 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 1 | morts 70 | eps 1.00
step   70500 | wellbeing 0.323 | wm_loss 1.7539 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 3 | morts 71 | eps 1.00
step   71000 | wellbeing 0.199 | wm_loss 1.8214 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 73 | eps 1.00
step   71500 | wellbeing 0.234 | wm_loss 1.7842 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 73 | eps 1.00
step   72000 | wellbeing 0.156 | wm_loss 1.7695 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 2 | morts 74 | eps 1.00
step   72500 | wellbeing 0.186 | wm_loss 1.8538 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 0 | morts 75 | eps 1.00
step   73000 | wellbeing 0.048 | wm_loss 1.8158 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 76 | eps 1.00
