nohup: ignoring input
Online fouloïde: 500000 steps, config=configs/micro_fouloide_online_homeostatic_rssm_v3_dreamerfix.yaml, seed=0, device=cuda
step   73000 | wellbeing 0.000 | wm_loss 2.0160 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 49 | eps 1.00
step   73500 | wellbeing 0.000 | wm_loss 1.9587 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 3 | morts 49 | eps 1.00
step   74000 | wellbeing 0.000 | wm_loss 1.9669 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 3 | morts 49 | eps 1.00
step   74500 | wellbeing 0.000 | wm_loss 1.9293 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 49 | eps 1.00
step   75000 | wellbeing 0.000 | wm_loss 1.9684 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 3 | morts 49 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   75500 | wellbeing 0.000 | wm_loss 1.9956 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 49 | eps 1.00
step   76000 | wellbeing 0.000 | wm_loss 1.9737 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 49 | eps 1.00
step   76500 | wellbeing 0.000 | wm_loss 1.9699 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 49 | eps 1.00
step   77000 | wellbeing 0.000 | wm_loss 2.0027 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 49 | eps 1.00
step   77500 | wellbeing 0.000 | wm_loss 1.9673 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 3 | morts 49 | eps 1.00
step   78000 | wellbeing 0.000 | wm_loss 1.9948 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 49 | eps 1.00
step   78500 | wellbeing 0.000 | wm_loss 1.9558 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 49 | eps 1.00
step   79000 | wellbeing 0.000 | wm_loss 1.9984 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 0 | morts 49 | eps 1.00
step   79500 | wellbeing 0.000 | wm_loss 1.9566 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 49 | eps 1.00
step   80000 | wellbeing 0.000 | wm_loss 2.0055 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 49 | eps 1.00
  cerveau sauvegardé → runs/fouloide_online_seed0/checkpoint_online.pt
step   80500 | wellbeing 0.000 | wm_loss 1.9707 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 49 | eps 1.00
step   81000 | wellbeing 0.000 | wm_loss 2.0568 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 49 | eps 1.00
step   81500 | wellbeing 0.000 | wm_loss 2.0002 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 1 | morts 49 | eps 1.00
step   82000 | wellbeing 0.000 | wm_loss 1.9603 | td 0.0000 | planner 0.00 | seuil None | eau 1 | bouffe 2 | morts 49 | eps 1.00
step   82500 | wellbeing 0.000 | wm_loss 1.9863 | td 0.0000 | planner 0.00 | seuil None | eau 0 | bouffe 2 | morts 49 | eps 1.00
step   83000 | wellbeing 0.000 | wm_loss 1.9615 | td 0.0000 | planner 0.00 | seuil None | eau 3 | bouffe 0 | morts 49 | eps 1.00
step   83500 | wellbeing 0.000 | wm_loss 1.9762 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 0 | morts 49 | eps 1.00
step   84000 | wellbeing 0.000 | wm_loss 2.0328 | td 0.0000 | planner 0.00 | seuil None | eau 2 | bouffe 1 | morts 49 | eps 1.00
